"filename", "language", "JSON", "JSON with Comments", "HTML", "TypeScript", "SCSS", "JavaScript", "Markdown", "XML", "YAML", "comment", "blank", "total"
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\components\region-form\region-form.component.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 8, 68
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\components\region-list\region-list.component.html", "HTML", 0, 0, 33, 0, 0, 0, 0, 0, 0, 5, 2, 40
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\components\region-list\region-list.component.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 12, 75
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\country.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\country.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\model\country.model.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\model\region.model.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\routes.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\country\service\country.service.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 13, 51
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\dashboard\dashboard-charts-data.ts", "TypeScript", 0, 0, 0, 170, 0, 0, 0, 0, 0, 6, 18, 194
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\dashboard\dashboard.component.html", "HTML", 0, 0, 380, 0, 0, 0, 0, 0, 0, 0, 7, 387
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\dashboard\dashboard.component.scss", "SCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 14, 190
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\dashboard\routes.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Carlos\Semestre1-2025Apuntes\Ingenieria_software_1\proy\SW1Frontend\src\app\views\election\components\election-create\election-create.component.html", "HTML", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 1, 84
